"covariates","taxa","mppi","beta"
"Class A betalactamases","Pedobacter",0.665,0.1646561521
"Class A betalactamases","Ketogulonicigenium",0.885,0.3778492221
"Class A betalactamases","T4likevirus",0.924,-0.2788243114
"Multi-drug efflux pumps","Haloarcula",0.91,0.24683048022
"Multi-drug efflux pumps","Exiguobacterium",0.753,0.1975625065
"Multi-drug efflux pumps","Brevundimonas",0.898,-0.5790477534
"Multi-drug efflux pumps","Bordetella",0.506,-0.2171723621
"Multi-drug efflux pumps","Desulfomicrobium",0.892,0.2520956267
"23S rRNA methyltransferases","Chroococcidiopsis",1,0.5472573061
"23S rRNA methyltransferases","Brachyspira",0.552,0.06522270406
"23S rRNA methyltransferases","Phikmvlikevirus",1,-0.5925641917
"Macrolide phosphotransferases","Robiginitalea",0.635,0.2915966449
"Macrolide phosphotransferases","Taylorella",0.683,-0.3847434144
"Macrolide phosphotransferases","Pasteurella",0.668,-0.17195595668
"Macrolide phosphotransferases","Methylacidiphilum",0.859,-0.23081327555
"Tetracycline resistance major facilitator superfamily MFS efflux pumps","Rhodococcus",0.563,0.139856856
"Tetracycline resistance major facilitator superfamily MFS efflux pumps","Bacteroides",0.882,0.2464232943
"Tetracycline resistance major facilitator superfamily MFS efflux pumps","Bradyrhizobium",0.554,0.1349573482
"Tetracycline resistance major facilitator superfamily MFS efflux pumps","Desulfobacula",0.516,0.09259785125
"Tetracycline resistance major facilitator superfamily MFS efflux pumps","Mesoplasma",0.923,-0.3697148042
"Aminoglycoside O-phosphotransferases","Parachlamydia",0.67,0.10542202893
"Aminoglycoside O-phosphotransferases","Leuconostoc",0.951,-0.5117347296
"Aminoglycoside O-phosphotransferases","Asticcacaulis",0.603,-0.2168308466
"Aminoglycoside O-phosphotransferases","Pseudogulbenkiania",0.515,-0.1768156423
"Aminoglycoside O-phosphotransferases","Desulfovibrio",0.555,0.1787830694
"Aminoglycoside O-phosphotransferases","T4likevirus",0.626,-0.131094478
"Aminoglycoside O-phosphotransferases","Phieco32likevirus",0.902,0.3050748283
"Aminoglycoside O-nucleotidyltransferases","Halogeometricum",1,0.3508183636
"Aminoglycoside O-nucleotidyltransferases","Oceanithermus",0.551,-0.2775946788
"Aminoglycoside O-nucleotidyltransferases","Desulfococcus",0.787,-0.2666198642
"Chloramphenicol acetyltransferases","Kitasatospora",0.892,0.3134865411
"Chloramphenicol acetyltransferases","Slackia",0.829,0.2610516283
"Chloramphenicol acetyltransferases","Blattabacterium",0.596,0.2955822484
"Chloramphenicol acetyltransferases","Streptobacillus",0.754,-0.3154005285
"Chloramphenicol acetyltransferases","Petrotoga",0.768,-0.6160898365
"Aminoglycoside N-acetyltransferases","Truepera",0.759,-0.4537613401
"Aminoglycoside N-acetyltransferases","Meiothermus",0.841,-0.3817037007
"Aminoglycoside N-acetyltransferases","Heliobacterium",0.587,-0.3065589404
"Aminoglycoside N-acetyltransferases","Thioalkalimicrobium",0.501,0.2534172789
"Undecaprenyl pyrophosphate phosphatase","Haloarcula",0.604,-0.11529793839
"Undecaprenyl pyrophosphate phosphatase","Solibacillus",0.646,0.09890195593
"Undecaprenyl pyrophosphate phosphatase","Methylocella",0.764,0.5450080957
"Undecaprenyl pyrophosphate phosphatase","Thauera",1,-0.6949934421
"Undecaprenyl pyrophosphate phosphatase","Halothiobacillus",0.639,-0.3143726609
"Penicillin binding protein","Pyrobaculum",0.893,-0.2442246406
"Penicillin binding protein","Xylanimonas",0.647,-0.2856473041
"Penicillin binding protein","Chlorobaculum",0.544,0.2444013044
"Penicillin binding protein","Calditerrivibrio",0.705,0.3957745886
"Penicillin binding protein","Delftia",0.58,0.1496434842
"Penicillin binding protein","Punalikevirus",0.671,0.4004326451
"Class C betalactamases","Thermogladius",0.509,-0.2130218532
"Class C betalactamases","Spirochaeta",0.843,0.2172795535
"Class C betalactamases","Treponema",0.839,-0.7033514178
"Class C betalactamases","Candidatus Phytoplasma",1,-0.7821545922
"MDR regulator","Nakamurella",0.616,-0.2771782402
"MDR regulator","Ruminococcus",0.516,-0.09394310921
"Polymyxin B resistance regulator","Tannerella",0.609,0.03472346961
"Polymyxin B resistance regulator","Filifactor",0.665,-0.2886509914
"Polymyxin B resistance regulator","Brevundimonas",0.898,0.3180295137
"Polymyxin B resistance regulator","Beijerinckia",0.556,0.2232546352
"Polymyxin B resistance regulator","Alteromonas",0.611,-0.1926832869
"Lipid A modification","Haloterrigena",1,-0.5573803714
"Lipid A modification","Fluviicola",0.545,-0.1521885387
"Lipid A modification","Paracoccus",1,0.6094902597
"Lipid A modification","Delftia",0.918,0.3697906175
"Lipid A modification","Leptothrix",0.553,0.08347015194
"Lipid A modification","Twortlikevirus",0.613,-0.2859628915
